"born_CH","since","male","kids","unemployed","refugee","married","percent_novotes_rounded","origin_region","application_decade","age","education","local_language","integration_level","skill_level"
0,NA,1,0,0,0,1,51,"Southern Europe","1980s","21–40 years","low","perfect","highly assimilated",NA
0,22.0000004768372,1,1,0,0,1,49,"Former Yugoslavia and Turkey","1990s","41–60 years","low",NA,"integrated","high"
0,12.9999995231628,1,0,0,1,0,42,"Asian Countries","1990s","21–40 years","low",NA,"integrated","low"
0,27.0000004768372,1,1,0,0,1,39,"Norther & Western Europe","1980s","21–40 years","low",NA,"assimilated","low"
0,30.9999990463257,1,0,0,1,0,33,"Norther & Western Europe","1970s","21–40 years","low",NA,"highly assimilated","low"
0,22.9999995231628,1,1,0,0,1,58,"Former Yugoslavia and Turkey","2000s","41–60 years","low","sufficient",NA,"low"
0,13.9999997615814,1,1,0,0,1,45,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated","low"
0,11.0000002384186,0,0,0,0,0,43,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","adjusted",NA
1,22.9999995231628,0,0,0,0,0,28,"Southern Europe","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
0,22.0000004768372,1,1,0,0,1,57,"Former Yugoslavia and Turkey","2000s","41–60 years","low","good",NA,"low"
0,16.0000002384186,1,1,0,0,1,45,"Central & Eastern Europe","1990s","41–60 years","low",NA,"assimilated","high"
0,10,1,0,0,0,0,43,"Central & Eastern Europe","2000s","21–40 years","low",NA,"adjusted","low"
1,18.9999997615814,0,0,0,0,0,24,"Southern Europe","1990s",NA,"low",NA,NA,"high"
1,22.0000004768372,1,0,0,0,0,50,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","adjusted","high"
0,12.0000004768372,1,1,0,0,1,50,"Norther & Western Europe","1970s","21–40 years","low",NA,"assimilated","high"
0,25,1,1,0,0,1,25,"Norther & Western Europe","2000s","41–60 years","low",NA,NA,"middle"
1,35.9999990463257,1,1,0,0,1,31,"Southern Europe","1970s","21–40 years","low",NA,"indistinguishable from Swiss","high"
0,20,0,0,0,1,0,37,"Asian Countries","2000s","21–40 years","low","perfect","highly assimilated","high"
0,15,0,0,0,1,0,58,"Asian Countries","1990s",NA,"low","perfect","indistinguishable from Swiss","high"
0,39.0000009536743,1,1,0,0,1,47,"Southern Europe","1990s","41–60 years","low","perfect","highly integrated","middle"
0,13.9999997615814,1,1,0,0,1,29,"Norther & Western Europe","1980s","41–60 years","low",NA,NA,"middle"
0,12.9999995231628,0,0,0,0,0,36,"Central & Eastern Europe","1990s","21–40 years","low","perfect","indistinguishable from Swiss","high"
1,68.0000019073486,1,1,0,0,1,29,"Southern Europe","1990s","60+ years","low","perfect","indistinguishable from Swiss","high"
1,17.0000004768372,1,0,0,0,0,38,"Asian Countries","2000s",NA,"low","perfect","highly assimilated",NA
1,35,1,0,0,0,1,21,"Norther & Western Europe","1970s","21–40 years","low",NA,"indistinguishable from Swiss","high"
0,15,1,0,0,0,0,36,"Asian Countries","1990s","41–60 years","low","good","assimilated","middle"
0,12.0000004768372,0,0,0,0,0,59,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","highly assimilated",NA
0,16.0000002384186,0,0,1,0,0,43,"Norther & Western Europe","1990s","41–60 years","low",NA,"integrated","high"
1,30.9999990463257,1,1,0,0,1,25,"Southern Europe","1990s","21–40 years","low",NA,"integrated","middle"
0,13.9999997615814,1,0,0,0,1,60,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","highly assimilated","low"
0,18.9999997615814,1,0,0,0,0,30,"Norther & Western Europe","1980s",NA,"low","perfect","assimilated",NA
0,17.0000004768372,0,1,NA,0,0,36,"Norther & Western Europe","1970s","41–60 years","low",NA,"familiar with Swiss customs and traditions",NA
0,16.0000002384186,1,0,0,0,0,47,"Central & Eastern Europe","1990s",NA,"low",NA,"highly integrated","high"
1,16.0000002384186,1,1,0,0,1,34,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","middle"
0,22.9999995231628,0,0,0,0,0,28,"Norther & Western Europe","1980s","21–40 years","low",NA,"indistinguishable from Swiss","high"
0,20.9999990463257,1,1,0,0,1,26,"Southern Europe","1970s","41–60 years","low",NA,NA,"low"
0,22.9999995231628,1,1,0,0,1,32,"Norther & Western Europe","1970s","41–60 years","low",NA,"assimilated","low"
1,22.9999995231628,1,0,0,0,0,60,"Former Yugoslavia and Turkey","2000s","21–40 years","low","good",NA,"high"
0,54.0000009536743,1,1,0,0,1,18,"Norther & Western Europe","1970s","60+ years","low",NA,NA,NA
0,20,1,1,0,0,1,37,"Norther & Western Europe","1970s","41–60 years","low",NA,"assimilated","middle"
0,18.9999997615814,1,1,0,1,1,38,"Central & Eastern Europe","1980s","21–40 years","low",NA,"assimilated","middle"
0,17.0000004768372,0,0,0,0,0,52,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","familiar with Swiss customs and traditions","high"
1,20.9999990463257,0,0,0,0,0,30,"Norther & Western Europe","1980s","21–40 years","low",NA,"indistinguishable from Swiss",NA
0,27.9999995231628,1,1,0,0,1,24,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","middle"
0,15,1,1,1,1,1,58,"Asian Countries","1990s","41–60 years","low","sufficient","integrated",NA
1,17.9999995231628,1,0,0,0,0,30,"Norther & Western Europe","1990s",NA,"low",NA,"indistinguishable from Swiss",NA
0,18.9999997615814,0,0,0,0,0,25,"Southern Europe","1970s","21–40 years","low","perfect","indistinguishable from Swiss","high"
1,32.0000004768372,1,0,0,0,0,22,"Norther & Western Europe","1990s","21–40 years","low",NA,"indistinguishable from Swiss","low"
1,13.9999997615814,1,0,0,0,0,54,"Other Non-European Countries","2000s",NA,"low","perfect","highly assimilated",NA
0,25,1,1,0,0,1,60,"Former Yugoslavia and Turkey","2000s","41–60 years","low","perfect","highly assimilated","low"
0,15,1,1,0,1,1,37,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"assimilated","low"
0,11.0000002384186,1,0,0,0,0,56,"Other Non-European Countries","2000s","21–40 years","low","perfect","assimilated","low"
1,15,1,0,0,0,0,34,"Norther & Western Europe","1980s",NA,"low",NA,"assimilated",NA
1,17.0000004768372,1,0,0,0,0,15,"Norther & Western Europe","1980s",NA,"low","perfect","highly assimilated","low"
0,20,1,1,0,0,1,51,"Norther & Western Europe","1970s","21–40 years","low",NA,"assimilated","low"
0,11.0000002384186,1,1,0,0,1,31,"Southern Europe","1990s","21–40 years","low",NA,"assimilated","middle"
0,15,0,0,0,0,1,42,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","highly assimilated","high"
0,20.9999990463257,1,0,0,0,0,47,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"indistinguishable from Swiss","high"
0,16.0000002384186,1,1,0,0,1,45,"Former Yugoslavia and Turkey","1980s","41–60 years","low",NA,"assimilated","middle"
1,27.9999995231628,0,0,0,0,1,43,"Southern Europe","1990s","21–40 years","low","perfect","indistinguishable from Swiss","high"
0,20,1,0,0,1,0,37,"Asian Countries","2000s","21–40 years","low","perfect","highly assimilated",NA
0,29.0000009536743,0,1,0,0,1,57,"Former Yugoslavia and Turkey","2000s","41–60 years","low","perfect","highly assimilated","high"
0,16.0000002384186,1,1,0,0,1,27,"Norther & Western Europe","1970s","21–40 years","low",NA,"assimilated","middle"
0,22.9999995231628,1,1,0,0,1,25,"Norther & Western Europe","1970s","41–60 years","low",NA,"highly assimilated","high"
0,20,1,1,0,0,1,30,"Norther & Western Europe","1980s","21–40 years","low",NA,"assimilated","low"
0,13.9999997615814,1,0,0,0,0,61,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"highly integrated","high"
0,15,1,1,0,1,1,42,"Asian Countries","1990s","21–40 years","low",NA,NA,"low"
0,15,1,1,0,0,1,63,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","highly assimilated","low"
0,18.9999997615814,1,1,0,1,1,41,"Asian Countries","2000s","41–60 years","low","good","integrated","low"
1,54.0000009536743,1,1,0,0,1,28,"Southern Europe","1970s","41–60 years","low",NA,"indistinguishable from Swiss","high"
0,16.0000002384186,1,1,0,0,1,40,"Former Yugoslavia and Turkey","1980s","21–40 years","low",NA,"assimilated","middle"
0,27.0000004768372,1,1,0,0,1,64,"Former Yugoslavia and Turkey","2000s","41–60 years","low","perfect","highly assimilated","low"
0,24.0000009536743,1,1,0,0,1,39,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","high"
0,17.0000004768372,0,1,0,1,1,44,"Asian Countries","1990s","41–60 years","low","sufficient","assimilated","low"
0,29.0000009536743,0,0,0,0,0,40,"Southern Europe","1990s","41–60 years",NA,NA,"integrated","low"
0,24.0000009536743,1,1,0,0,1,30,"Southern Europe","1980s","41–60 years","low",NA,"highly assimilated","high"
0,17.0000004768372,1,1,0,0,1,24,"Norther & Western Europe","1970s","41–60 years","low",NA,NA,"low"
1,17.9999995231628,1,0,0,0,0,26,"Norther & Western Europe","1970s",NA,"low",NA,"familiar with Swiss customs and traditions","high"
0,17.0000004768372,1,0,0,0,1,56,"Former Yugoslavia and Turkey","1990s","41–60 years","low",NA,"integrated","low"
0,10,1,0,0,1,0,45,"Asian Countries","1990s","21–40 years","low",NA,NA,"low"
0,15,1,1,0,0,1,22,"Norther & Western Europe","1970s","41–60 years","low","perfect","familiar with Swiss customs and traditions","high"
1,18.9999997615814,0,0,0,0,0,51,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","familiar with Swiss customs and traditions","high"
0,27.9999995231628,1,1,0,0,1,36,"Southern Europe","1970s","41–60 years","low","perfect","assimilated","high"
0,13.9999997615814,1,1,0,1,1,52,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"integrated","low"
0,17.0000004768372,1,1,0,0,1,38,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","middle"
0,17.0000004768372,1,1,0,1,1,45,"Central & Eastern Europe","2000s","41–60 years","low","perfect","highly assimilated","high"
0,6.99999988079071,1,1,0,0,1,32,"Norther & Western Europe","1970s","21–40 years","low","perfect","assimilated","middle"
0,16.0000002384186,1,1,0,1,1,53,"Central & Eastern Europe","2000s","41–60 years","low","perfect","highly assimilated","high"
0,16.0000002384186,1,1,0,0,1,35,"Norther & Western Europe","1980s","21–40 years","low",NA,"assimilated","high"
0,12.0000004768372,0,0,1,0,0,66,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","highly assimilated","high"
0,27.0000004768372,0,1,0,0,0,21,"Norther & Western Europe","1980s","21–40 years","low",NA,"highly assimilated","high"
0,20.9999990463257,1,1,0,0,1,39,"Norther & Western Europe","2000s","41–60 years","low","perfect","highly assimilated","high"
0,15,1,1,0,0,1,56,"Former Yugoslavia and Turkey","1990s","41–60 years","low",NA,"indistinguishable from Swiss","middle"
1,12.9999995231628,0,0,0,0,0,45,"Other Non-European Countries","2000s",NA,"low","perfect","indistinguishable from Swiss",NA
1,17.0000004768372,0,0,0,0,0,25,"Southern Europe","2000s",NA,"low","perfect","highly assimilated","high"
0,12.9999995231628,1,0,0,0,0,45,"Norther & Western Europe","1970s","21–40 years","low","perfect","assimilated","middle"
0,12.0000004768372,1,1,0,0,1,37,"Norther & Western Europe","1970s","41–60 years","low",NA,"assimilated","low"
1,27.9999995231628,1,0,0,0,0,31,"Southern Europe","2000s","21–40 years","low","perfect","highly assimilated","high"
1,18.9999997615814,0,0,0,0,0,30,"Norther & Western Europe","1980s",NA,"low",NA,"indistinguishable from Swiss",NA
0,16.0000002384186,1,0,0,1,0,26,"Central & Eastern Europe","1970s","41–60 years","low","perfect","assimilated","low"
0,17.0000004768372,1,1,0,0,1,63,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","highly assimilated","low"
0,11.0000002384186,1,0,0,0,0,50,"Asian Countries","1990s","21–40 years","low",NA,"highly integrated","low"
0,17.9999995231628,1,0,0,0,0,24,"Norther & Western Europe","1970s",NA,"low",NA,NA,"low"
1,27.9999995231628,1,0,0,0,0,13,"Norther & Western Europe","1980s","21–40 years","low",NA,NA,"low"
0,27.0000004768372,0,1,0,0,1,45,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","highly integrated",NA
0,12.0000004768372,1,0,0,0,0,61,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","highly assimilated","high"
0,12.0000004768372,1,0,0,0,0,64,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","highly assimilated","high"
0,10,1,0,0,1,0,45,"Asian Countries","1990s","21–40 years","low",NA,NA,"low"
0,18.9999997615814,1,1,0,0,1,31,"Former Yugoslavia and Turkey","1980s","41–60 years","low",NA,"assimilated","middle"
0,20,1,1,0,0,1,54,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"low"
0,13.9999997615814,0,0,0,0,0,52,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","familiar with Swiss customs and traditions","high"
0,25,1,1,0,0,1,45,"Norther & Western Europe","1970s","41–60 years","low",NA,"indistinguishable from Swiss","middle"
0,12.9999995231628,1,0,0,1,1,62,"Asian Countries","1990s","21–40 years","low",NA,NA,"low"
0,29.0000009536743,1,1,0,1,1,65,"Former Yugoslavia and Turkey","2000s","60+ years","low","good",NA,NA
0,20.9999990463257,1,0,0,0,0,47,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"indistinguishable from Swiss","low"
0,20.9999990463257,1,1,0,0,1,64,"Former Yugoslavia and Turkey","2000s","41–60 years","low","perfect","highly assimilated","low"
0,13.9999997615814,1,1,0,0,1,26,"Norther & Western Europe","1980s","41–60 years","low",NA,NA,"low"
0,15,1,1,0,0,1,48,"Central & Eastern Europe","1990s","41–60 years","low",NA,"integrated","low"
0,17.9999995231628,1,1,0,0,1,37,"Southern Europe","1970s","21–40 years","low","sufficient","assimilated","low"
1,15,0,0,0,0,0,34,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,"assimilated",NA
0,16.0000002384186,1,1,0,0,1,33,"Southern Europe","1970s","41–60 years","low",NA,"assimilated","low"
0,13.9999997615814,1,0,0,0,0,63,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","assimilated","low"
0,17.0000004768372,1,1,0,0,1,41,"Central & Eastern Europe","1990s","41–60 years","low",NA,"assimilated","middle"
0,15,1,1,0,1,1,58,"Asian Countries","1990s","21–40 years","low","good","integrated","low"
0,35,1,0,0,0,1,52,"Southern Europe","1990s","41–60 years","low",NA,NA,"middle"
0,18.9999997615814,1,0,0,0,0,56,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","highly assimilated","low"
0,13.9999997615814,0,0,0,0,0,61,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","assimilated","high"
0,18.9999997615814,1,1,0,0,1,29,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","low"
0,11.0000002384186,0,0,0,0,0,57,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","highly assimilated",NA
1,20,0,0,0,0,0,28,"Norther & Western Europe","1980s",NA,"low",NA,"indistinguishable from Swiss","high"
0,NA,1,0,0,0,1,26,"Norther & Western Europe","1970s","60+ years","low",NA,NA,"high"
1,16.0000002384186,0,0,0,0,0,22,"Norther & Western Europe","1980s",NA,"low",NA,"highly assimilated",NA
0,16.0000002384186,0,0,0,0,0,39,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,"indistinguishable from Swiss",NA
1,16.0000002384186,0,0,0,0,0,21,"Norther & Western Europe","1970s",NA,"low","perfect","indistinguishable from Swiss",NA
1,17.0000004768372,1,0,0,0,0,24,"Norther & Western Europe","1970s",NA,"low",NA,NA,NA
0,25.9999990463257,1,0,0,0,0,58,"Former Yugoslavia and Turkey","1990s","60+ years","low",NA,"integrated","middle"
0,32.9999995231628,1,0,0,0,0,30,"Central & Eastern Europe","1980s","41–60 years","low",NA,"assimilated","low"
1,16.0000002384186,1,0,0,0,0,32,"Southern Europe","1990s",NA,"low",NA,"indistinguishable from Swiss",NA
0,20,1,1,0,0,1,49,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"middle"
0,32.9999995231628,1,1,0,0,1,44,"Other Non-European Countries","1990s","41–60 years","low",NA,"indistinguishable from Swiss","middle"
0,15,1,0,0,0,0,51,"Asian Countries","1990s","41–60 years","low","good","assimilated","middle"
0,22.9999995231628,1,1,0,0,1,64,"Former Yugoslavia and Turkey","2000s","41–60 years","low","good","assimilated",NA
1,49.0000009536743,1,1,0,0,1,9,"Southern Europe","1970s","41–60 years","low",NA,"highly assimilated","low"
1,17.9999995231628,1,0,0,0,0,25,"Southern Europe","2000s",NA,"low","perfect","highly integrated",NA
0,16.0000002384186,1,0,0,0,0,33,"Former Yugoslavia and Turkey","1980s",NA,"low","perfect","assimilated",NA
0,20,1,1,0,0,1,43,"Former Yugoslavia and Turkey","1980s","41–60 years","low","perfect","assimilated","low"
0,16.0000002384186,1,1,0,0,1,17,"Norther & Western Europe","1970s","21–40 years","low","perfect","assimilated","low"
0,25,1,1,0,0,1,22,"Norther & Western Europe","1980s","41–60 years","low","perfect","assimilated","low"
0,18.9999997615814,0,1,0,0,1,49,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated","low"
0,17.9999995231628,0,0,0,0,0,36,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,12.0000004768372,1,0,0,0,0,43,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,"familiar with Swiss customs and traditions",NA
1,12.9999995231628,0,0,0,0,0,42,"Southern Europe","1990s",NA,"low","perfect","assimilated",NA
1,22.9999995231628,0,0,0,0,0,30,"Southern Europe","1990s","21–40 years","low","perfect","integrated","low"
0,20,1,1,0,0,1,51,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated","low"
0,10,1,1,0,0,1,33,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","middle"
1,22.0000004768372,0,0,0,0,0,43,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","integrated",NA
0,24.0000009536743,0,1,0,0,0,50,"Former Yugoslavia and Turkey","1990s","41–60 years","low","perfect","assimilated","low"
0,15,1,1,0,1,1,30,"Central & Eastern Europe","1970s","21–40 years","low","good","assimilated","low"
0,17.0000004768372,0,1,0,0,1,62,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"integrated","low"
0,20.9999990463257,1,1,0,0,1,37,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"adjusted","low"
0,20.9999990463257,1,1,0,0,1,29,"Norther & Western Europe","1970s","41–60 years","low",NA,"assimilated","middle"
0,12.9999995231628,0,0,0,0,0,35,"Southern Europe","2000s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,12.9999995231628,0,0,0,0,0,35,"Norther & Western Europe","1980s","21–40 years","low",NA,"assimilated","high"
0,22.9999995231628,1,1,0,0,1,52,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"integrated","high"
1,16.0000002384186,0,0,0,0,0,26,"Norther & Western Europe","1970s",NA,"low","perfect","highly assimilated","middle"
0,17.9999995231628,1,1,0,0,1,47,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","high"
1,30,0,0,0,0,0,35,"Southern Europe","1990s","21–40 years","low","perfect","highly integrated","high"
0,20.9999990463257,1,1,0,1,0,17,"Central & Eastern Europe","1970s","41–60 years","low",NA,NA,"low"
0,20,1,0,0,0,0,37,"Former Yugoslavia and Turkey","1980s","21–40 years","low",NA,"highly assimilated","high"
0,22.0000004768372,1,1,0,0,0,57,"Former Yugoslavia and Turkey","1980s","60+ years","low",NA,"familiar with Swiss customs and traditions","low"
0,18.9999997615814,1,1,0,0,1,58,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated","low"
1,50.9999990463257,0,0,0,0,0,22,"Norther & Western Europe","1970s","41–60 years","low","perfect","indistinguishable from Swiss","high"
0,27.0000004768372,1,0,0,0,0,54,"Former Yugoslavia and Turkey","2000s","60+ years","low",NA,"integrated","middle"
0,32.9999995231628,0,1,0,1,0,35,"Asian Countries","1990s","41–60 years",NA,NA,"familiar with Swiss customs and traditions","low"
0,30,1,1,0,0,0,55,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"familiar with Swiss customs and traditions",NA
0,25,0,0,0,0,0,61,"Former Yugoslavia and Turkey","1990s","41–60 years","low","good","familiar with Swiss customs and traditions","high"
0,22.0000004768372,1,1,0,0,1,32,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","high"
1,30.9999990463257,1,0,0,0,0,32,"Southern Europe","1990s","21–40 years","low","perfect","highly integrated","middle"
0,32.9999995231628,1,1,0,0,1,41,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"integrated","high"
1,30.9999990463257,0,1,0,0,0,25,"Southern Europe","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
1,18.9999997615814,1,0,0,0,0,18,"Southern Europe","1970s",NA,"low",NA,"highly assimilated","low"
0,25,1,0,0,0,1,40,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","low"
0,15,1,1,0,0,1,28,"Norther & Western Europe","1970s","21–40 years","low","perfect","assimilated","low"
0,24.0000009536743,1,1,0,0,1,39,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"integrated","high"
0,17.0000004768372,1,1,0,0,1,61,"Former Yugoslavia and Turkey","1990s","41–60 years","low",NA,"adjusted","high"
0,25.9999990463257,1,1,0,0,1,23,"Norther & Western Europe","1980s","41–60 years","low",NA,"highly assimilated","middle"
0,12.0000004768372,1,1,0,0,1,24,"Southern Europe","1970s","21–40 years","low",NA,"assimilated","low"
0,20.9999990463257,1,1,0,0,1,29,"Norther & Western Europe","1980s","21–40 years","low","perfect","assimilated","middle"
1,32.9999995231628,1,0,0,0,0,30,"Southern Europe","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
0,29.0000009536743,1,0,0,0,0,35,"Former Yugoslavia and Turkey","2000s","60+ years","low",NA,"integrated","middle"
0,17.9999995231628,1,0,1,0,1,22,"Norther & Western Europe","1980s","21–40 years","low",NA,"assimilated","middle"
1,12.9999995231628,1,0,0,0,0,53,"Former Yugoslavia and Turkey","1990s",NA,"low","perfect","integrated",NA
0,20.9999990463257,1,1,0,0,0,51,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated","high"
0,11.0000002384186,1,1,0,0,1,51,"Former Yugoslavia and Turkey","2000s","21–40 years","low","good","integrated","low"
0,18.9999997615814,0,1,0,0,1,49,"Central & Eastern Europe","1990s","21–40 years","low",NA,"integrated","high"
0,22.9999995231628,0,1,0,0,1,53,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated",NA
0,27.9999995231628,1,0,0,0,1,20,"Norther & Western Europe","1980s","41–60 years","low",NA,"highly assimilated","middle"
0,11.0000002384186,1,0,0,0,0,57,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"integrated","high"
0,12.0000004768372,1,0,0,1,0,49,"Asian Countries","1990s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,20,1,1,0,0,1,19,"Norther & Western Europe","1980s","41–60 years","low","perfect","indistinguishable from Swiss","middle"
0,22.0000004768372,1,0,0,1,0,39,"Asian Countries","2000s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,18.9999997615814,1,1,0,0,1,57,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"adjusted","high"
0,13.9999997615814,1,0,0,0,0,53,"Former Yugoslavia and Turkey","1990s",NA,"low","perfect","integrated","low"
0,17.9999995231628,1,1,0,0,1,63,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"adjusted","low"
0,18.9999997615814,1,1,0,0,1,56,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated","low"
0,22.9999995231628,1,0,0,1,0,25,"Asian Countries","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
0,8.99999976158142,1,0,0,0,0,62,"Former Yugoslavia and Turkey","1990s","21–40 years","low","good","integrated","low"
0,12.0000004768372,1,0,0,0,0,55,"Former Yugoslavia and Turkey","2000s","21–40 years","low","good","integrated","low"
0,22.9999995231628,1,0,0,1,0,26,"Asian Countries","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
0,11.0000002384186,1,0,0,0,0,42,"Norther & Western Europe","1990s","21–40 years","low","perfect","familiar with Swiss customs and traditions",NA
1,22.9999995231628,0,0,0,0,0,48,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","integrated","middle"
1,30.9999990463257,1,0,0,0,0,26,"Southern Europe","1990s","21–40 years","low",NA,"integrated","middle"
0,8.99999976158142,1,0,0,0,0,62,"Former Yugoslavia and Turkey","1990s","21–40 years","low","good","integrated","low"
0,15,1,0,0,0,1,48,"Central & Eastern Europe","1990s","21–40 years","low","perfect","familiar with Swiss customs and traditions","middle"
0,22.9999995231628,0,0,0,0,0,18,"Norther & Western Europe","1970s","21–40 years","low","perfect","highly assimilated","high"
0,12.9999995231628,1,1,0,0,1,51,"Former Yugoslavia and Turkey","2000s","21–40 years","low","good","integrated","high"
0,20.9999990463257,1,1,0,0,1,56,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"familiar with Swiss customs and traditions","high"
0,12.9999995231628,1,0,0,0,0,51,"Former Yugoslavia and Turkey","2000s","21–40 years","low","good","integrated","low"
1,24.0000009536743,0,0,0,0,0,54,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","highly integrated","high"
0,27.9999995231628,0,0,0,0,0,46,"Former Yugoslavia and Turkey","2000s","41–60 years","low","good","familiar with Swiss customs and traditions","high"
0,20,1,0,0,1,0,39,"Asian Countries","2000s","21–40 years","low","perfect","adjusted","low"
0,13.9999997615814,1,1,0,0,1,40,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated","middle"
0,13.9999997615814,1,1,0,1,1,47,"Asian Countries","1990s","21–40 years","low",NA,"familiar with Swiss customs and traditions","low"
0,15,1,1,0,0,1,43,"Norther & Western Europe","1980s","21–40 years","low",NA,"assimilated","high"
0,22.0000004768372,1,1,0,0,1,50,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,17.9999995231628,1,1,0,0,1,43,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"adjusted","low"
1,17.0000004768372,0,0,0,0,0,41,"Southern Europe","1990s",NA,"low","perfect","assimilated",NA
1,64.0000009536743,0,0,0,0,0,14,"Norther & Western Europe","1970s","60+ years","low","perfect","indistinguishable from Swiss","low"
0,12.9999995231628,1,1,0,0,0,43,"Norther & Western Europe","1990s","41–60 years","low",NA,"familiar with Swiss customs and traditions","middle"
0,25.9999990463257,0,1,0,0,0,51,"Former Yugoslavia and Turkey","1990s","41–60 years","low","perfect","integrated","high"
0,12.9999995231628,1,1,0,0,1,34,"Other Non-European Countries","1980s","41–60 years","low",NA,"assimilated","middle"
0,16.0000002384186,1,1,0,0,1,59,"Former Yugoslavia and Turkey","1990s","41–60 years","low",NA,"adjusted","high"
0,8.99999976158142,1,0,0,1,0,43,"Asian Countries","1980s",NA,"low",NA,"adjusted","high"
0,17.0000004768372,1,1,0,0,1,40,"Southern Europe","1980s","21–40 years","low",NA,NA,"low"
0,22.9999995231628,0,1,0,0,0,41,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"familiar with Swiss customs and traditions","high"
1,27.9999995231628,0,0,0,0,0,42,"Southern Europe","1980s","21–40 years","low","perfect","highly assimilated","low"
0,10,1,0,0,1,0,44,"Asian Countries","1990s","21–40 years","low",NA,NA,"high"
